Date,Address,City,State,lon,lat,Killed,Injured
"October 16, 2017",5th Street,Meridian,Mississippi,-88.71676,32.36059,1,3
"October 15, 2017",6233 Gulfton St,Houston,Texas,-95.49152,29.716,2,2
"October 15, 2017",107th Ave and Camelback Rd,Phoenix,Arizona,-112.29001,33.50818,1,3
"October 12, 2017",6 Asbury Ct,Aliso Viejo,California,-117.7358,33.56752,2,2
"October 11, 2017",15497 SR 93,Pedro,Ohio,-82.64227,38.70825,4,0
"October 10, 2017",25th St and Treat Ave,San Francisco,California,-122.4129,37.75098,0,4
"October 9, 2017",3352 Old Spanish Trail,Houston,Texas,-95.37213,29.70122,0,5
"October 7, 2017",87th Ave and Thomas Rd,Phoenix,Arizona,-112.2465,33.47975,0,4
"October 6, 2017",8000 block of S Marshfield,Chicago,Illinois,-87.66495,41.74835,0,5
"October 5, 2017",400 block of W 13th Street,Casa Grande,Arizona,-111.7573,32.88542,4,0
"October 3, 2017",2051 NW 65th St,Miami,Florida,-80.23101,25.83388,0,4
"October 1, 2017",1000 block of Massachusetts St,Lawrence,Kansas,-95.23571,38.96546,3,2
"October 1, 2017",3950 Las Vegas Blvd S,Las Vegas,Nevada,-115.17503,36.09086,59,441
"September 30, 2017",800 block of Kerr Avenue,Memphis,Tennessee,-90.03589,35.10716,1,3
"September 28, 2017",2001 N Rocheblave St,New Orleans,Louisiana,-90.06478,29.9815,1,3
"September 26, 2017",2531 Chelsea Ave,Memphis,Tennessee,-89.97277,35.17421,0,4
"September 26, 2017",3200 block of Lyndale Ave,Baltimore,Maryland,-76.57838,39.31661,2,2
"September 26, 2017",100 block of Pastorius St,Philadelphia,Pennsylvania,-75.1775,40.04333,1,3
"September 24, 2017",500 block of E. Patapsco Avenue,Baltimore,Maryland,-76.60361,39.23695,0,4
"September 24, 2017",6000 block of Hoover Dr,Mays Landing,New Jersey,-74.76627,39.45116,1,3
"September 24, 2017",3890 Pin Hook Rd,Antioch,Tennessee,-86.58308,36.04677,1,8
"September 24, 2017",1226 E Fayette St,Syracuse,New York,-76.13047,43.04818,0,4
"September 23, 2017",1170 Albany Ave,Hartford,Connecticut,-72.69571,41.78228,2,2
"September 23, 2017",Seminary St and Jackson St,Danville,Illinois,-87.62731,40.13033,0,5
"September 23, 2017",818 Real Rd,Bakersfield,California,-119.04324,35.36579,1,4
"September 20, 2017",4300 block of 23rd Ct,Gary,Indiana,-87.39035,41.57554,0,5
"September 17, 2017",5000 block of Stanton Street,Detroit,Michigan,-83.09052,42.34977,1,3
"September 17, 2017",300 Mistletoe St,Petersburg,Virginia,-77.4048,37.21682,1,4
"September 16, 2017",920 Lady Street,Columbia,South Carolina,-81.03764,34.00129,0,8
"September 13, 2017",14626 S Jackson Rd,Rockford,Washington,-117.19693,47.51956,1,3
"September 13, 2017",400 block of S Duke St,York,Pennsylvania,-76.72306,39.95742,0,4
"September 13, 2017",3100 block of N 2nd St,Philadelphia,Pennsylvania,-75.13322,39.99732,0,4
"September 13, 2017",1000 block of Morehead St,Memphis,Tennessee,-90.02512,35.16805,1,5
"September 10, 2017",2101 N Claiborne Ave,New Orleans,Louisiana,-90.05836,29.97399,1,3
"September 10, 2017",1712 West Spring Creek Parkway,Plano,Texas,-96.7276,33.05651,9,1
"September 9, 2017",Kings Bend Road,Selma,Alabama,-87.02871,32.39447,0,4
"September 6, 2017",2700 block of Madison,Chicago,Illinois,-87.69412,41.88137,0,4
"September 4, 2017",1000 block of Bellwood Ave,Bellwood,Illinois,-87.87843,41.87419,0,4
"September 3, 2017",10100 block of S Firmona Ave,Inglewood,California,-118.357,33.94439,2,3
"September 2, 2017",8008 Watterson Trail,Louisville,Kentucky,-85.62194,38.18062,0,4
"September 2, 2017",8300 block of S Hermitage,Chicago,Illinois,-87.66717,41.74276,1,3
"August 28, 2017",701 N Main St,Clovis,New Mexico,-103.20455,34.40521,2,4
"August 27, 2017",7760 24th St,Sacramento,California,-121.48151,38.47505,1,4
"August 27, 2017",1127 Chestnut St,Evansville,Indiana,-87.56021,37.97316,1,3
"August 25, 2017",1600 NE 8th Ave,Gainesville,Florida,-82.30467,29.65921,0,4
"August 24, 2017",10400 block of Balmoral Dr,Saint Louis,Missouri,-90.20094,38.75385,4,0
"August 22, 2017",300 block of N Central Ave,Chicago,Illinois,-87.76546,41.88593,0,4
"August 21, 2017",980 Fishing Creek Rd,Whitakers,North Carolina,-77.82884,36.16933,4,0
"August 21, 2017",Fabyan Place,Newark,New Jersey,-74.22211,40.71543,0,4
"August 21, 2017",700 block of S 19th St,Newark,New Jersey,-74.21217,40.73241,1,3
"August 21, 2017",Cottage Avenue and Park Heights Avenue,Baltimore,Maryland,-76.65752,39.32733,1,3
"August 21, 2017",262 Decatur St,Memphis,Tennessee,-90.02593,35.14716,0,4
"August 20, 2017",11901 S Loomis St,Chicago,Illinois,-87.65598,41.67682,2,5
"August 20, 2017",100th St and Ave M,Brooklyn,New York,-73.89102,40.63861,0,4
"August 19, 2017",11143 Superior Ave,Cleveland,Ohio,-81.60759,41.52265,1,4
"August 16, 2017",Merritt Ave and 15th St,Wyandanch,New York,-73.36126,40.75436,0,4
"August 14, 2017",Morrison St and Klump Ave,North Hollywood,California,-118.37576,34.16082,2,2
"August 13, 2017",4000 Block of Martin Luther King Jr Blvd,Sacramento,California,-121.46475,38.53836,0,4
"August 13, 2017",8700 block of Quay Rd,Suffolk,Virginia,-76.83943,36.65241,0,4
"August 13, 2017",39th St and Melon St,Philadelphia,Pennsylvania,-75.19996,39.96489,0,5
"August 12, 2017",12310 Bellefontaine Rd,Saint Louis,Missouri,-90.21235,38.79658,1,3
"August 8, 2017",1 block of East 37th Street,Chicago,Illinois,-87.62641,41.82736,1,6
"August 6, 2017",Wickham Ave,Bronx,New York,-73.83738,40.86907,0,6
"August 6, 2017",Unionport Rd,Bronx,New York,-73.86335,40.84127,0,4
"August 6, 2017",1000 block of 106th Avenue,Oakland,California,-122.17198,37.73575,0,7
"August 5, 2017",900 block of Brook Road,Lakewood,New Jersey,-74.18922,40.1021,0,4
"August 5, 2017",300 block of Ellis St,Allendale,South Carolina,-81.296,33.00219,1,3
"August 5, 2017",1939 W Tennessee St,Tallahassee,Florida,-84.31619,30.44843,1,3
"August 4, 2017",200 block of North Helen Street,Lodge Grass,Montana,-107.36474,45.31157,3,2
"August 3, 2017",3426 18th St NE,Washington,District of Columbia,-76.97996,38.93274,1,3
"August 2, 2017",900 block of N Broadway,Baltimore,Maryland,-76.59454,39.3006,0,4
"August 1, 2017",8000 Block of Lateral C Rd,Toppenish,Washington,-120.52307,46.36072,0,6
"August 1, 2017",Mariposa St and A St,Fresno,California,-119.80113,36.72782,0,7
