Location,Year,Rate
Maryland,2003,20.1
Maryland,2004,19.5
Maryland,2005,18.9
Maryland,2006,17.7
Maryland,2007,17.1
Maryland,2008,14.9
Maryland,2009,15.5
Massachusetts,1984,NA
Massachusetts,1986,27
Massachusetts,1988,26.4
Massachusetts,1990,23.5
Massachusetts,1992,23.6
Massachusetts,1993,21.2
Massachusetts,1995,21.7
Massachusetts,1996,23.4
Massachusetts,1997,20.4
Massachusetts,1998,20.9
Massachusetts,1999,19.4
Massachusetts,2000,19.9
Massachusetts,2001,19.7
Massachusetts,2002,18.9
Massachusetts,2003,19.1
Massachusetts,2004,18.4
Massachusetts,2005,18.1
Massachusetts,2006,17.8
Massachusetts,2007,16.4
Massachusetts,2008,16
Massachusetts,2009,15
Michigan,1984,NA
Michigan,1986,NA
Michigan,1988,26.2
Michigan,1990,29.1
Michigan,1992,25.3
Michigan,1993,25.1
Michigan,1995,25.7
Michigan,1996,25.6
Michigan,1997,26.1
Michigan,1998,27.4
Michigan,1999,25.1
Michigan,2000,24.1
Michigan,2001,25.7
Michigan,2002,24.2
Michigan,2003,26.1
Michigan,2004,23.2
Michigan,2005,22
Michigan,2006,22.4
Michigan,2007,21.1
Michigan,2008,20.4
Michigan,2009,19.6
Minnesota,1984,26.5
Minnesota,1986,25.1
Minnesota,1988,22.5
Minnesota,1990,21.4
Minnesota,1992,22
Minnesota,1993,22.4
Minnesota,1995,20.5
Minnesota,1996,20.6
Minnesota,1997,21.8
Minnesota,1998,18
Minnesota,1999,19.5
Minnesota,2000,19.8
Minnesota,2001,22.2
Minnesota,2002,21.7
Minnesota,2003,21.1
Minnesota,2004,20.7
Minnesota,2005,20
Minnesota,2006,18.3
Minnesota,2007,16.5
Minnesota,2008,17.5
Minnesota,2009,16.8
Mississippi,1984,NA
Mississippi,1986,NA
Mississippi,1988,NA
Mississippi,1990,24.1
Mississippi,1992,24.5
Mississippi,1993,24.1
Mississippi,1995,24
Mississippi,1996,23.2
Mississippi,1997,23.2
Mississippi,1998,24.1
Mississippi,1999,23
Mississippi,2000,23.5
Mississippi,2001,25.4
Mississippi,2002,27.3
Mississippi,2003,25.6
Mississippi,2004,24.5
Mississippi,2005,23.6
Mississippi,2006,25.1
Mississippi,2007,23.9
Mississippi,2008,22.7
Mississippi,2009,23.3
Missouri,1984,NA
Missouri,1986,25.7
Missouri,1988,26
Missouri,1990,26.2
Missouri,1992,23.7
Missouri,1993,26.6
Missouri,1995,24.3
Missouri,1996,27.8
Missouri,1997,28.7
Missouri,1998,26.3
Missouri,1999,27.1
Missouri,2000,27.2
Missouri,2001,25.9
Missouri,2002,26.5
Missouri,2003,27.2
Missouri,2004,24
Missouri,2005,23.4
Missouri,2006,23.2
Missouri,2007,24.5
Missouri,2008,24.9
Missouri,2009,23.1
Montana,1984,28.9
Montana,1986,23
Montana,1988,19.7
Montana,1990,19.4
Montana,1992,19.3
Montana,1993,20.4
Montana,1995,21.1
Montana,1996,21.7
Montana,1997,20.5
Montana,1998,21.5
Montana,1999,20.2
Montana,2000,18.8
Montana,2001,21.9
Montana,2002,21.2
Montana,2003,20
Montana,2004,20.4
Montana,2005,19.2
Montana,2006,18.9
Montana,2007,19.5
Montana,2008,18.5
Montana,2009,16.8
Nebraska,1984,NA
Nebraska,1986,NA
Nebraska,1988,20.9
Nebraska,1990,22.7
Nebraska,1992,17.7
Nebraska,1993,22
Nebraska,1995,21.9
Nebraska,1996,22
Nebraska,1997,22.2
Nebraska,1998,22.1
Nebraska,1999,23.3
Nebraska,2000,21.2
Nebraska,2001,20.4
Nebraska,2002,22.7
Nebraska,2003,21.2
Nebraska,2004,20.2
Nebraska,2005,21.3
Nebraska,2006,18.7
Nebraska,2007,19.9
Nebraska,2008,18.3
Nebraska,2009,16.7
Nevada,1984,NA
Nevada,1986,NA
Nevada,1988,NA
Nevada,1990,NA
Nevada,1992,30.7
Nevada,1993,30
Nevada,1995,26.3
Nevada,1996,28.2
Nevada,1997,27.7
Nevada,1998,30.4
Nevada,1999,31.5
Nevada,2000,29
Nevada,2001,27
Nevada,2002,26
Nevada,2003,25.2
Nevada,2004,23.2
Nevada,2005,23.1
Nevada,2006,22.2
Nevada,2007,21.5
Nevada,2008,22.1
Nevada,2009,22
New Hampshire,1984,NA
New Hampshire,1986,NA
New Hampshire,1988,28
New Hampshire,1990,22
New Hampshire,1992,23.2
New Hampshire,1993,20.6
New Hampshire,1995,21.4
New Hampshire,1996,24.9
New Hampshire,1997,24.8
New Hampshire,1998,23.3
New Hampshire,1999,22.4
New Hampshire,2000,25.3
New Hampshire,2001,24.1
New Hampshire,2002,23.2
New Hampshire,2003,21.2
New Hampshire,2004,21.6
New Hampshire,2005,20.4
New Hampshire,2006,18.7
New Hampshire,2007,19.3
New Hampshire,2008,17
New Hampshire,2009,15.8
New Jersey,1984,NA
New Jersey,1986,NA
New Jersey,1988,NA
New Jersey,1990,NA
New Jersey,1992,20.2
New Jersey,1993,18.9
New Jersey,1995,19.2
New Jersey,1996,22.8
New Jersey,1997,21.5
New Jersey,1998,19.2
New Jersey,1999,20.7
New Jersey,2000,21
New Jersey,2001,21.3
New Jersey,2002,19
New Jersey,2003,19.4
New Jersey,2004,18.8
New Jersey,2005,18
New Jersey,2006,18
New Jersey,2007,17.1
New Jersey,2008,14.7
New Jersey,2009,17.9
New Mexico,1984,NA
New Mexico,1986,26.1
New Mexico,1988,23.8
New Mexico,1990,22.3
New Mexico,1992,20.4
New Mexico,1993,21.8
New Mexico,1995,21.2
New Mexico,1996,22.9
New Mexico,1997,22.1
New Mexico,1998,22.6
New Mexico,1999,22.5
New Mexico,2000,23.6
New Mexico,2001,23.9
New Mexico,2002,21.2
New Mexico,2003,22
New Mexico,2004,20.3
New Mexico,2005,21.5
New Mexico,2006,20.1
New Mexico,2007,20.8
New Mexico,2008,19.3
New Mexico,2009,18
New York,1984,NA
New York,1986,27
New York,1988,23.9
New York,1990,22.5
New York,1992,22.9
New York,1993,23.5
New York,1995,21.5
New York,1996,23.3
New York,1997,23.1
New York,1998,24.3
New York,1999,21.9
New York,2000,21.6
New York,2001,23.4
New York,2002,22.3
New York,2003,21.6
New York,2004,19.9
New York,2005,20.5
New York,2006,18.2
New York,2007,18.9
New York,2008,16.7
New York,2009,18
North Carolina,1984,28.6
North Carolina,1986,26.5
North Carolina,1988,26.2
North Carolina,1990,28
North Carolina,1992,26.7
