country,fertility_rate,life_expectancy,region,population
Andorra,1.39,82.8,Europe,85660
Austria,1.47,81.5,Europe,8711770
Belarus,1.48,72.7,Europe,9570376
Belgium,1.78,81,Europe,11409077
Bosnia and Herzegovina,1.28,76.7,Europe,3861912
Bulgaria,1.46,74.5,Europe,7144653
Croatia,1.39,75.9,Europe,4313707
Czechia,1.45,78.6,Europe,10660932
Denmark,1.73,79.4,Europe,5593785
Estonia,1.6,76.7,Europe,1258545
Faroe Islands,2.36,80.4,Europe,50456
Finland,1.75,80.9,Europe,5498211
France,2.07,81.8,Europe,66836154
Germany,1.44,80.7,Europe,80722792
Gibraltar,1.91,79.4,Europe,29328
Greece,1.42,80.5,Europe,10773253
Guernsey,1.56,82.5,Europe,66297
Hungary,1.44,75.9,Europe,9874784
Iceland,2.01,83,Europe,335878
Ireland,1.98,80.8,Europe,4952473
Isle of Man,1.93,81.2,Europe,88195
Italy,1.43,82.2,Europe,62007540
Jersey,1.66,81.9,Europe,98069
Kosovo,2.06,71.6,Europe,1883018
Latvia,1.51,74.5,Europe,1965686
Liechtenstein,1.69,81.9,Europe,37937
Lithuania,1.59,74.9,Europe,2854235
Luxembourg,1.61,82.3,Europe,582291
Macedonia,1.6,76.2,Europe,2100025
Malta,1.55,80.4,Europe,415196
Moldova,1.56,70.7,Europe,3510485
Monaco,1.53,89.5,Europe,30581
Montenegro,1.52,78.6,Europe,644578
Netherlands,1.78,81.3,Europe,17016967
Norway,1.86,81.8,Europe,5265158
Poland,1.34,77.6,Europe,38523261
Portugal,1.53,79.3,Europe,10833816
Romania,1.34,75.1,Europe,21599736
Russia,1.61,70.8,Europe,142355415
San Marino,1.5,83.3,Europe,33285
Serbia,1.43,75.5,Europe,7143921
Slovakia,1.4,77.1,Europe,5445802
Slovenia,1.35,78.2,Europe,1978029
Spain,1.49,81.7,Europe,48563476
Sweden,1.88,82.1,Europe,9880604
Switzerland,1.55,82.6,Europe,8179294
Ukraine,1.54,71.8,Europe,44209733
United Kingdom,1.89,80.7,Europe,64430428
Anguilla,1.75,81.4,The Americas,16752
Antigua and Barbuda,2.01,76.5,The Americas,93581
Argentina,2.28,77.1,The Americas,43886748
Aruba,1.84,76.8,The Americas,113648
"Bahamas, The",1.95,72.4,The Americas,327316
Barbados,1.68,75.3,The Americas,291495
Belize,2.9,68.7,The Americas,353858
Bolivia,2.68,69.2,The Americas,10969649
Brazil,1.76,73.8,The Americas,205823665
Cayman Islands,1.85,81.2,The Americas,57268
Chile,1.81,78.8,The Americas,17650114
Colombia,2.02,75.7,The Americas,47220856
Costa Rica,1.9,78.6,The Americas,4872543
Cuba,1.71,78.7,The Americas,11179995
Curacao,2.06,78.3,The Americas,149035
Dominica,2.04,77,The Americas,73757
Dominican Republic,2.31,78.1,The Americas,10606865
Ecuador,2.22,76.8,The Americas,16080778
El Salvador,1.89,74.7,The Americas,6156670
Grenada,2.04,74.3,The Americas,111219
Guatemala,2.83,72.3,The Americas,15189958
Guyana,2.04,68.4,The Americas,735909
Haiti,2.79,63.8,The Americas,10485800
Honduras,2.72,71.1,The Americas,8893259
Jamaica,1.99,73.6,The Americas,2970340
Mexico,2.25,75.9,The Americas,123166749
Montserrat,1.31,74.4,The Americas,5267
Nicaragua,1.92,73.2,The Americas,5966798
Panama,2.33,78.6,The Americas,3705246
Paraguay,1.91,77.2,The Americas,6862812
Peru,2.15,73.7,The Americas,30741062
Puerto Rico,1.64,79.4,The Americas,3578056
Saint Barthelemy,1.63,79.6,The Americas,7209
Saint Kitts and Nevis,1.78,75.7,The Americas,52329
Saint Lucia,1.75,77.8,The Americas,164464
Saint Martin,1.81,79.6,The Americas,31949
Saint Vincent and the Grenadines,1.81,75.3,The Americas,102350
Sint Maarten,2.06,78.1,The Americas,41486
Suriname,1.95,72.2,The Americas,585824
Trinidad and Tobago,1.71,72.9,The Americas,1220479
Turks and Caicos Islands,1.7,79.8,The Americas,51430
Uruguay,1.81,77.2,The Americas,3351016
Venezuela,2.35,75.8,The Americas,30912302
"Virgin Islands, British",1.28,78.6,The Americas,34232
"Virgin Islands, U.S.",1.73,80,The Americas,102951
Bermuda,1.94,81.3,The Americas,70537
Canada,1.6,81.9,The Americas,35362905
Greenland,2.01,72.4,The Americas,57728
Saint Pierre and Miquelon,1.57,80.5,The Americas,5595
United States,1.87,79.8,The Americas,323995528
American Samoa,2.87,75.4,Asia,54194
Australia,1.77,82.2,Asia,22992654
Cook Islands,2.21,75.8,Asia,9556
Fiji,2.44,72.7,Asia,915303
French Polynesia,1.9,77.2,Asia,285321
Guam,2.31,79.1,Asia,162742
Kiribati,2.43,66.2,Asia,106925
Marshall Islands,3.09,73.1,Asia,73376
"Micronesia, Federated States of",2.45,72.9,Asia,104719
Nauru,2.84,67.1,Asia,9591
New Caledonia,1.95,77.7,Asia,275355
