sex,pidate_mo,phealth,mhealth,worry,raceorig,ageworkforpay,marstat,educ,employ,age,hrswork,income,lifesat,sleep,selfesteem,worksatis,workdauth,workdemands,workcosupp,worksupsupp,workdiscrim,workineq,posworktofam,negworktofam,suppfam,strainfam,suppfriend,strainfriend,suppspouse,strainspouse,mindful,ratelife,rateday
FEMALE,7,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,18-22,MARRIED,HIGH SCHOOL/GED,WORKING NOW,64,11,NA,8.875,8.25,36,9,19,11,7,13,9,1.333333333,11,7,4,1.5,3.5,1.75,4,1.5,36,9,9
FEMALE,9,FAIR,FAIR,LESS,WHITE,< 18,NEVER MARRIED,HIGH SCHOOL/GED,RETIRED,65,NA,1000,9.5,10,33,10,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,2.5,4,2.166666667,45,10,10
FEMALE,7,FAIR,GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,MASTER'S DEGREE,WORKING NOW,61,40,67000,7.5,7,43,5,25,16,8,12,12,1.833333333,11,12,3.5,2,3.25,2,3.833333333,2.333333333,38,9,10
FEMALE,6,VERY GOOD,GOOD,MORE,BLACK AND/OR AFRICAN AMERICAN,< 18,WIDOWED,MASTER'S DEGREE,SELF-EMPLOYED,61,20,75000,7.333333333,6,40,5,30,17,6,9,14,1.5,12,12,1.75,3.25,4,1.75,NA,NA,36,NA,9
FEMALE,7,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,18-22,MARRIED,SOME COLLEGE,HOMEMAKER,43,NA,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,8,VERY GOOD,EXCELLENT,LESS,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,SELF-EMPLOYED,62,6,2400,8.25,7.5,46,5,27,10,NA,NA,6,1.166666667,NA,6,3.75,1.75,3.75,1.5,4,1.666666667,34,10,10
FEMALE,6,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,NA,MARRIED,SOME COLLEGE,NA,77,NA,25000,9.333333333,8,31,9,NA,NA,NA,NA,NA,NA,NA,NA,3.75,1.25,2.75,1,3.833333333,1.666666667,40,NA,NA
FEMALE,6,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,SOME GRADUATE SCHOOL,SELF-EMPLOYED,45,16,64400,7.875,8,31,8,29,16,NA,NA,6,1.666666667,4,12,2.25,2.5,2.75,2,3.833333333,2,30,8,8
MALE,7,VERY GOOD,EXCELLENT,ABOUT THE SAME,WHITE,18-22,NEVER MARRIED,BACHELOR'S DEGREE,WORKING NOW,51,50,40000,8.333333333,6,41,9,22,15,3,11,14,1.666666667,7,6,3.5,2,2.5,1,NA,NA,28,8,10
FEMALE,11,GOOD,GOOD,MORE,WHITE,< 18,DIVORCED,HIGH SCHOOL/GED,FULL-TIME STUDENT,48,NA,12000,6.25,8,34,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,3.25,NA,NA,42,7,10
MALE,2,EXCELLENT,EXCELLENT,LESS,WHITE,< 18,MARRIED,DOCTORAL OR PROF DEGREE,WORKING NOW,71,15,120000,9.75,8,46,10,22,9,4,12,6,1,10,7,3.666666667,1.75,3.333333333,2,4,1.666666667,9,10,8
MALE,6,GOOD,GOOD,LESS,WHITE,NA,SEPARATED,SOME COLLEGE,NA,81,NA,28000,8,8.166666667,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,7,GOOD,GOOD,LESS,WHITE,< 18,MARRIED,DOCTORAL OR PROF DEGREE,RETIRED,76,NA,15000,8.125,6,39,8,NA,NA,NA,NA,NA,NA,NA,NA,3.5,1.5,2.75,1,3.166666667,2.5,34,9,9
MALE,7,GOOD,GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,SOME COLLEGE,RETIRED,67,12,80000,8.375,9,36,8,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2.75,2,4,1.833333333,37,9,8
MALE,6,VERY GOOD,EXCELLENT,LESS,WHITE,< 18,MARRIED,MASTER'S DEGREE,WORKING NOW,55,40,150000,8.375,7.5,43,8,27,13,10,15,11,1,12,8,3.75,2.5,4,2.5,4,1.333333333,9,9,10
MALE,6,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,WIDOWED,BACHELOR'S DEGREE,RETIRED,78,NA,0,8.75,7,32,8,NA,NA,NA,NA,NA,NA,NA,NA,2.75,1.25,2,1.5,NA,NA,42,9,9
FEMALE,6,GOOD,VERY GOOD,LESS,WHITE,< 18,DIVORCED,BACHELOR'S DEGREE,RETIRED,71,15,20000,8.25,4,40,5,26,7,NA,15,6,1,18,6,3.75,2,3.5,2,NA,NA,43,8,8
FEMALE,7,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,< 18,NEVER MARRIED,ASSOC DEGREE,SELF-EMPLOYED,45,50,45000,9.375,7,47,10,30,14,7,NA,11,1,13,14,3.75,1.5,3.5,1.75,3.833333333,1.833333333,27,9,9
MALE,6,EXCELLENT,EXCELLENT,ABOUT THE SAME,BLACK AND/OR AFRICAN AMERICAN,18-22,MARRIED,HIGH SCHOOL/GED,WORKING NOW,54,40,61000,8.5,6,43.16666667,7,23,11,8,12,6,1.5,9,4,4,2.25,3.5,2,3.833333333,2.666666667,NA,8,9
FEMALE,6,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,18-22,NEVER MARRIED,MASTER'S DEGREE,WORKING NOW,68,35,75000,8.75,5,42,7,16,17,9,12,6,1,10.66666667,13,2.5,2.75,4,2,NA,NA,45,8,9
FEMALE,6,FAIR,GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,WORKING NOW,55,36,32000,8.166666667,6.5,46,NA,12,20,5,7,24,2.166666667,10,14,3.5,2.5,3,2.5,4,1.333333333,36,8,9
FEMALE,7,GOOD,GOOD,ABOUT THE SAME,WHITE,18-22,MARRIED,BACHELOR'S DEGREE,RETIRED,62,NA,NA,7.5,7,22,8,19,8,7,13,6,1.333333333,8,4,2.5,2,3,2,4,1.333333333,37,7,7
FEMALE,6,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,18-22,WIDOWED,HIGH SCHOOL/GED,WORKING NOW,76,2,NA,9.5,6,42,10,12,11,10,15,6,1.333333333,13,4,4,1,4,1,NA,NA,36,10,10
FEMALE,6,GOOD,GOOD,ABOUT THE SAME,OTHER (SPECIFY),18-22,MARRIED,MASTER'S DEGREE,WORKING NOW,65,55,61000,8.375,8,36,9,23,16,6,12,8,1.333333333,10,13,4,2.5,4,2,3.833333333,2.333333333,39,8,7
MALE,7,VERY GOOD,EXCELLENT,ABOUT THE SAME,WHITE,18-22,MARRIED,DOCTORAL OR PROF DEGREE,WORKING NOW,52,40,120000,8.5,9,31,9,27,13,6,NA,6,1.5,7,9,3.5,1.25,2.75,1.25,4,1.166666667,9,9,7
FEMALE,10,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,OVER 30,WIDOWED,SOME K12,TEMPORARILY LAID OFF,78,2,NA,10,8,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALE,7,EXCELLENT,EXCELLENT,LESS,WHITE,< 18,MARRIED,MASTER'S DEGREE,RETIRED,59,60,1.00E+05,8.625,5.5,46,10,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3.25,3.25,2,3.666666667,2.666666667,35,8,8
MALE,6,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,18-22,MARRIED,DOCTORAL OR PROF DEGREE,RETIRED,73,NA,35000,7.375,6,40,7,12,14,8,11,6,1.333333333,11,6,2.75,2.5,3,2,4,2.666666667,36,8,7
MALE,7,FAIR,GOOD,LESS,WHITE,18-22,MARRIED,HIGH SCHOOL/GED,WORKING NOW,59,40,42000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,6,GOOD,GOOD,ABOUT THE SAME,WHITE,< 18,WIDOWED,HIGH SCHOOL/GED,RETIRED,75,NA,2000,7.5,7.5,39,7,NA,NA,NA,NA,NA,NA,NA,NA,3.25,2.25,2.75,1.75,NA,NA,29,7,4
FEMALE,6,VERY GOOD,VERY GOOD,LESS,WHITE,< 18,NEVER MARRIED,MASTER'S DEGREE,WORKING NOW,46,40,340003,7.333333333,6.5,36,7,16,15,8,13,8,2,12,12,3.75,2.25,4,1.5,NA,NA,35,8,7
MALE,6,EXCELLENT,EXCELLENT,LESS,WHITE,< 18,MARRIED,SOME GRADUATE SCHOOL,OTHER,66,8,55000,8.625,7,44,9,14,11,6,10,6,1.333333333,10,4,4,1.75,3.75,1.75,4,1.333333333,33,9,7
MALE,6,GOOD,VERY GOOD,LESS,WHITE,18-22,MARRIED,BACHELOR'S DEGREE,WORKING NOW,46,40,50000,7.625,7.5,39,7,19,16,7,12,12,1.833333333,8,11,3.5,2.25,2,2,3.833333333,2.166666667,26,8,8
FEMALE,7,POOR,POOR,MORE,WHITE,18-22,NEVER MARRIED,BACHELOR'S DEGREE,WORKING NOW,58,40,52000,4.333333333,7,17,3,14,19,5,6,18,2.166666667,10,20,2.5,2.75,2.5,3,NA,NA,34,5,5
MALE,7,GOOD,EXCELLENT,LESS,WHITE,NA,MARRIED,BACHELOR'S DEGREE,NA,78,NA,15000,7.75,8,43,7,NA,NA,NA,NA,NA,NA,NA,NA,1.25,2.75,4,1,4,1.166666667,45,10,10
MALE,6,GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,SOME COLLEGE,RETIRED,72,NA,90000,8.375,7.5,41,8,NA,NA,NA,NA,NA,NA,NA,NA,3.25,2,3.25,1.75,4,1.5,27,9,9
MALE,7,GOOD,GOOD,LESS,WHITE,18-22,MARRIED,BACHELOR'S DEGREE,WORKING NOW,57,40,112000,7.625,8,46,9,28,11,8,15,6,1,10,9,4,1,4,2.25,2.166666667,3.666666667,9,8,5
FEMALE,7,VERY GOOD,VERY GOOD,LESS,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,HOMEMAKER,58,NA,0,8.75,8,39,9,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3.75,1.5,4,1,45,8,9
MALE,6,GOOD,GOOD,ABOUT THE SAME,WHITE,23-30,MARRIED,BACHELOR'S DEGREE,RETIRED,69,NA,NA,9.25,7,39,9,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,1,4,2,33,9,9
MALE,6,GOOD,FAIR,ABOUT THE SAME,WHITE,< 18,DIVORCED,SOME COLLEGE,SELF-EMPLOYED,54,30,48000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALE,6,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,18-22,MARRIED,BACHELOR'S DEGREE,RETIRED,62,NA,0,8.333333333,7.5,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,2.25,1.5,4,1.5,33,8,8
FEMALE,8,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,< 18,DIVORCED,SOME COLLEGE,WORKING NOW,61,20,22000,8.25,NA,36,8,19,17,8,8,27,1.833333333,15,10,3.5,2,3.75,2.75,NA,NA,44,7,7
FEMALE,10,FAIR,VERY GOOD,MORE,BLACK AND/OR AFRICAN AMERICAN,18-22,DIVORCED,SOME COLLEGE,RETIRED,61,NA,18000,9,8,44,9,NA,NA,NA,NA,NA,NA,NA,NA,4,1.25,3.25,2,NA,NA,34,10,10
MALE,7,VERY GOOD,GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,SOME GRADUATE SCHOOL,SELF-EMPLOYED,69,36,1.00E+05,8.875,8,47,9,28,14,10,NA,12,1.166666667,10,11,4,2.25,3.5,2,4,2.166666667,34,9,9
FEMALE,7,POOR,GOOD,LESS,WHITE,NA,WIDOWED,SOME COLLEGE,NA,58,NA,9000,5.75,2,34,10,NA,NA,NA,NA,NA,NA,NA,NA,4,1.25,3.5,2.5,NA,NA,45,8,8
FEMALE,6,VERY GOOD,VERY GOOD,LESS,WHITE,< 18,DIVORCED,ASSOC DEGREE,RETIRED,82,NA,12000,9,7.5,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,1.5,3,1,NA,NA,32,9,3
FEMALE,6,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,18-22,NEVER MARRIED,BACHELOR'S DEGREE,WORKING NOW,61,50,63000,7.666666667,8,40,8,20,15,NA,NA,NA,NA,NA,NA,4,2.25,3.75,1.25,NA,NA,27,7,7
MALE,6,GOOD,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,SOME COLLEGE,RETIRED,77,NA,80000,7.75,8,43,10,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,1.5,4,1.166666667,43,10,10
MALE,3,GOOD,FAIR,ABOUT THE SAME,WHITE,< 18,WIDOWED,HIGH SCHOOL/GED,RETIRED,80,NA,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,7,FAIR,FAIR,ABOUT THE SAME,WHITE,< 18,DIVORCED,BACHELOR'S DEGREE,FULL-TIME STUDENT,52,NA,23000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,7,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,NEVER MARRIED,ASSOC DEGREE,WORKING NOW,49,38,36000,8.5,6,42,10,23,16,6,10,12,1.5,12,12,3.5,3,3.5,2.75,NA,NA,31,9,8
MALE,6,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,18-22,MARRIED,BACHELOR'S DEGREE,WORKING NOW,44,50,125000,8.375,5.5,48,8,25,20,10,12,6,1.333333333,9,12,4,1.25,3.25,1.25,4,3,43,9,6
FEMALE,10,GOOD,VERY GOOD,ABOUT THE SAME,OTHER (SPECIFY),23-30,DIVORCED,HIGH SCHOOL/GED,WORKING NOW,57,40,34000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALE,6,POOR,FAIR,LESS,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,RETIRED,63,NA,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,9,FAIR,GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,SOME K12,NA,51,NA,0,7.125,8.5,32,7,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2.5,3.5,1.75,3.833333333,1.833333333,37,8,9
FEMALE,6,GOOD,VERY GOOD,LESS,WHITE,< 18,WIDOWED,MASTER'S DEGREE,RETIRED,89,NA,48000,8.25,7,46,8,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3.75,1.75,NA,NA,36,8,8
FEMALE,6,VERY GOOD,EXCELLENT,LESS,WHITE,< 18,WIDOWED,SOME GRADUATE SCHOOL,WORKING NOW,73,16,24000,8.5,7,42,8,28,12,6,15,6,1.333333333,13,8,4,1.75,3.75,1.25,NA,NA,42,9,5
FEMALE,5,GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,HOMEMAKER,59,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,7,GOOD,VERY GOOD,LESS,WHITE,OVER 30,DIVORCED,SOME COLLEGE,NA,64,NA,32000,6.75,9,43,2,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1.75,3,1.75,NA,NA,41,8,7
MALE,6,GOOD,GOOD,ABOUT THE SAME,WHITE,18-22,MARRIED,ASSOC DEGREE,WORKING NOW,54,48,68000,6.5,6,40,6,21,12,6,10,16,2,8,10,3.25,2,2.75,2,3.666666667,2.5,33,7,7
MALE,7,VERY GOOD,GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,WORKING NOW,58,50,60000,8.25,6,36,8,29,22,10,15,19,1,16,20,3.25,3.25,4,2.75,4,2.333333333,36,8,8
FEMALE,7,GOOD,GOOD,ABOUT THE SAME,BLACK AND/OR AFRICAN AMERICAN,< 18,NEVER MARRIED,HIGH SCHOOL/GED,WORKING NOW,50,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,7,POOR,POOR,ABOUT THE SAME,WHITE,NA,MARRIED,SOME K12,NA,79,NA,NA,6.625,7,31,7,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2.5,2.75,2,3.833333333,1.833333333,36,8,7
FEMALE,8,EXCELLENT,VERY GOOD,LESS,WHITE,NA,WIDOWED,MASTER'S DEGREE,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,7,FAIR,GOOD,ABOUT THE SAME,WHITE,< 18,DIVORCED,SOME K12,HOMEMAKER,67,NA,NA,8.75,6,38,10,NA,NA,NA,NA,NA,NA,NA,NA,4,1.75,3.75,2.25,NA,NA,34,9,8
MALE,8,VERY GOOD,FAIR,MORE,WHITE,18-22,NEVER MARRIED,BACHELOR'S DEGREE,RETIRED,64,NA,20000,6.333333333,6,25,9,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2,2.75,2.25,NA,NA,NA,3,2
FEMALE,7,GOOD,GOOD,ABOUT THE SAME,WHITE,< 18,WIDOWED,HIGH SCHOOL/GED,WORKING NOW,64,16,8000,5.5,6,35,2,27,12,5,7,14,1.333333333,11,12,3.75,2.25,3.75,2.5,NA,NA,30,5,7
FEMALE,7,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,NA,DIVORCED,HIGH SCHOOL/GED,NA,65,NA,30000,10,8.5,42,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALE,7,FAIR,GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,SOME K12,WORKING NOW,81,10,15000,7.75,6,31,6,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2,3.25,1.75,3.5,1.833333333,30,8,9
FEMALE,6,FAIR,GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,RETIRED,72,NA,10000,6.375,9,41,2,NA,NA,NA,NA,NA,NA,NA,NA,4,1.25,3.75,1.25,3.833333333,2.333333333,42,7,9
MALE,7,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,ASSOC DEGREE,WORKING NOW,69,30,42000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,5,GOOD,VERY GOOD,ABOUT THE SAME,WHITE,18-22,SEPARATED,DOCTORAL OR PROF DEGREE,WORKING NOW,64,40,82000,8.5,7,42,10,29,15,8,NA,6,1,10,14,4,1.75,NA,NA,NA,NA,35,9,5
FEMALE,7,VERY GOOD,VERY GOOD,LESS,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,RETIRED,64,NA,10000,5.75,9,43,4,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2,3.5,2,1.833333333,2.666666667,37,5,5
MALE,10,VERY GOOD,GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,NA,48,NA,45000,6.375,6.5,28,3,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2,2.75,2,3.5,2.666666667,27,7,7
MALE,12,GOOD,GOOD,LESS,WHITE,NA,MARRIED,SOME COLLEGE,NA,66,NA,25000,8.666666667,8,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.25,3.25,2,4,2.166666667,35,9,9
MALE,1,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,RETIRED,64,NA,47000,8.5,8,43,10,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3.75,3.5,2,4,1.333333333,27,10,10
FEMALE,7,VERY GOOD,VERY GOOD,LESS,WHITE,18-22,MARRIED,SOME COLLEGE,WORKING NOW,49,35,35000,8.125,8,29,8,24,13,6,12,11,1.666666667,12,8,4,2,3.25,2,3.333333333,2.333333333,30,8,9
MALE,7,VERY GOOD,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,WORKING NOW,61,24,39000,9.875,5,43,10,23,12,8,9,7,1.166666667,7,7,3.75,1.5,3.75,1.25,4,1.5,40,10,10
MALE,6,FAIR,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,SELF-EMPLOYED,66,12,1.00E+05,9.25,8,40,10,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3.75,2,4,1.666666667,36,10,10
MALE,6,VERY GOOD,GOOD,MORE,WHITE,< 18,DIVORCED,BACHELOR'S DEGREE,PERMANENTLY DISABLED,64,NA,34000,7.5,12,20,8,NA,NA,NA,NA,NA,NA,NA,NA,3.75,1,1,1,NA,NA,18,6,7
FEMALE,6,VERY GOOD,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,MASTER'S DEGREE,RETIRED,63,NA,45000,9.375,7,46,10,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,1,4,1,41,10,10
FEMALE,6,EXCELLENT,EXCELLENT,LESS,WHITE,18-22,MARRIED,ASSOC DEGREE,WORKING NOW,51,40,33000,8.875,8,44,8,23,13,4,12,7,1.5,10,6,3.5,1.75,3.75,1,3.5,1.5,33,9,7
FEMALE,6,POOR,POOR,MORE,WHITE,OVER 30,MARRIED,HIGH SCHOOL/GED,RETIRED,69,NA,NA,7.625,12,35,7,NA,NA,NA,NA,NA,NA,NA,NA,3.75,1.75,3.75,2,2.833333333,3.5,45,8,8
MALE,6,VERY GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,SOME K12,RETIRED,82,NA,50000,8.5,4,43,8,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2.25,4,2,4,2,36,8,9
MALE,3,GOOD,GOOD,ABOUT THE SAME,WHITE,< 18,DIVORCED,BACHELOR'S DEGREE,WORKING NOW,64,35,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,8,VERY GOOD,GOOD,ABOUT THE SAME,OTHER (SPECIFY),18-22,DIVORCED,HIGH SCHOOL/GED,NA,70,NA,NA,8.75,8,41,10,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3.75,1,NA,NA,38,8,8
MALE,7,FAIR,EXCELLENT,LESS,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,WORKING NOW,61,60,130000,7.75,7.5,45,8,21,11,6,7,14,1.166666667,15,8,4,1.25,4,1,4,1.5,27,10,9
FEMALE,6,VERY GOOD,EXCELLENT,LESS,WHITE,NA,MARRIED,BACHELOR'S DEGREE,NA,67,NA,45000,9.75,8,48,10,NA,NA,NA,NA,NA,NA,NA,NA,4,1.25,4,1,4,1.5,38,10,10
MALE,7,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,18-22,MARRIED,MASTER'S DEGREE,WORKING NOW,63,60,360000,8.125,8,48,6,26,21,7,13,14,1,12,12,3.5,2.5,3,2,4,1.333333333,9,8,8
FEMALE,7,GOOD,GOOD,ABOUT THE SAME,WHITE,NA,WIDOWED,SOME COLLEGE,NA,90,NA,13000,8.75,7.5,41,8,NA,NA,NA,NA,NA,NA,NA,NA,3,1.75,2.5,1.5,NA,NA,33,9,9
FEMALE,6,VERY GOOD,VERY GOOD,LESS,NATIVE AMERICAN OR ALASKA NATIVE ALEUTIAN ISLANDER/ESKIMO,OVER 30,DIVORCED,MASTER'S DEGREE,RETIRED,73,14,30000,9.25,8,35,10,NA,NA,NA,NA,NA,NA,NA,NA,4,1.75,3.75,1.75,NA,NA,36,8,9
FEMALE,7,GOOD,FAIR,MORE,WHITE,18-22,MARRIED,ASSOC DEGREE,RETIRED,60,NA,42000,6,6,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,1,4,1,2.166666667,3,33,4,6
FEMALE,6,FAIR,GOOD,MORE,WHITE,18-22,MARRIED,BACHELOR'S DEGREE,WORKING NOW,60,16,20000,6.5,8,35,8,27,20,7,12,8,1.166666667,13,12,3,2.5,3,1.25,3.5,2.166666667,30,8,6
FEMALE,10,FAIR,GOOD,ABOUT THE SAME,NA,< 18,MARRIED,SOME K12,NA,60,NA,NA,7.666666667,3,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1.5,4,2.75,3,3,33,8,8
MALE,7,GOOD,GOOD,ABOUT THE SAME,WHITE,NA,MARRIED,MASTER'S DEGREE,NA,76,NA,60000,7.166666667,9,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,1.75,2.5,2,4,1.666666667,38,7,7
MALE,1,GOOD,GOOD,ABOUT THE SAME,WHITE,18-22,MARRIED,SOME K12,WORKING NOW,59,40,NA,8,8.5,34,8,20,16,8,9,17,1.333333333,14,11,3.75,2.75,3,2.5,3.833333333,2.333333333,28,8,8
MALE,7,FAIR,FAIR,ABOUT THE SAME,WHITE,< 18,NEVER MARRIED,HIGH SCHOOL/GED,SELF-EMPLOYED,59,40,30000,7.333333333,8,33,8,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2,3.25,2,NA,NA,27,7,7
MALE,1,GOOD,GOOD,ABOUT THE SAME,BLACK AND/OR AFRICAN AMERICAN,< 18,MARRIED,ASSOC DEGREE,WORKING NOW,57,40,43000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,5,FAIR,GOOD,LESS,WHITE,< 18,MARRIED,ASSOC DEGREE,SELF-EMPLOYED,47,62,65000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALE,7,GOOD,GOOD,LESS,WHITE,NA,MARRIED,SOME K12,NA,83,NA,0,8.25,9,38,9,NA,NA,NA,NA,NA,NA,NA,NA,3,1.5,3,2,3,2.166666667,28,8,10
MALE,8,GOOD,GOOD,MORE,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,WORKING NOW,53,9,1.00E+05,7.75,7.25,43,8,24,17,10,12,10,1.166666667,13,12,4,2.25,3.25,2,4,2.166666667,34,7,7
FEMALE,7,EXCELLENT,GOOD,LESS,WHITE,< 18,WIDOWED,HIGH SCHOOL/GED,WORKING NOW,74,50,61000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALE,6,GOOD,VERY GOOD,LESS,OTHER (SPECIFY),< 18,MARRIED,HIGH SCHOOL/GED,WORKING NOW,55,40,131000,6.5,7,31,6,15,17,8,11,15,1.833333333,10,15,2,2,3.25,1.75,3.666666667,2.5,29,7,8
MALE,5,GOOD,VERY GOOD,ABOUT THE SAME,WHITE,< 18,DIVORCED,SOME COLLEGE,RETIRED,70,NA,38000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
