sex,pidate_mo,phealth,mhealth,worry,raceorig,ageworkforpay,marstat,educ,employ,age,hrswork,income,lifesat,sleep,selfesteem,worksatis,workdauth,workdemands,workcosupp,worksupsupp,workdiscrim,workineq,posworktofam,negworktofam,suppfam,strainfam,suppfriend,strainfriend,suppspouse,strainspouse,mindful,ratelife,rateday
FEMALE,8,VERY GOOD,VERY GOOD,LESS,WHITE,18-22,WIDOWED,HIGH SCHOOL/GED,HOMEMAKER,81,NA,30000,9.333333333,9,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,1,NA,NA,32,9,10
FEMALE,6,FAIR,GOOD,MORE,OTHER (SPECIFY),18-22,MARRIED,SOME COLLEGE,HOMEMAKER,72,NA,7600,5.875,6,46,4,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2,3.25,1.25,4,2.166666667,36,7,8
FEMALE,7,GOOD,GOOD,LESS,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,WORKING NOW,55,40,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALE,7,VERY GOOD,VERY GOOD,LESS,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,WORKING NOW,55,50,63000,7.625,7,41,8,22,15,7,12,13,1.666666667,12,11,3,2,3.25,1.5,3.833333333,2.5,33,7,7
MALE,6,VERY GOOD,VERY GOOD,LESS,WHITE,18-22,MARRIED,HIGH SCHOOL/GED,RETIRED,70,NA,48000,8,7.5,34,7,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3.5,2,4,1.833333333,35,8,9
MALE,6,GOOD,GOOD,MORE,WHITE,NA,WIDOWED,MASTER'S DEGREE,NA,84,NA,40000,8.75,8,27,8,NA,NA,NA,NA,NA,NA,NA,NA,4,1.75,3.25,1,NA,NA,30,10,10
MALE,7,VERY GOOD,GOOD,ABOUT THE SAME,WHITE,NA,MARRIED,HIGH SCHOOL/GED,NA,84,NA,35000,8.25,NA,38,7,NA,NA,NA,NA,NA,NA,NA,NA,4,1.5,3.25,1.75,4,2.333333333,31,9,9
MALE,7,VERY GOOD,VERY GOOD,MORE,WHITE,18-22,MARRIED,SOME COLLEGE,SELF-EMPLOYED,50,55,66000,7.5,7.5,35,8,29,16,7,NA,6,2,12,12,3,1,3.25,1.5,3.833333333,1.833333333,35,7,7
MALE,7,GOOD,GOOD,LESS,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,SELF-EMPLOYED,59,36,75000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,6,FAIR,GOOD,MORE,WHITE,NA,WIDOWED,HIGH SCHOOL/GED,NA,76,NA,24000,5.75,9,31,0,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2.25,3.5,1.75,NA,NA,36,8,8
MALE,9,GOOD,VERY GOOD,ABOUT THE SAME,WHITE,NA,MARRIED,BACHELOR'S DEGREE,NA,67,NA,85000,8.75,6.5,43,9,NA,NA,NA,NA,NA,NA,NA,NA,4,1.25,4,1.25,4,2,36,9,9
MALE,7,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,BACHELOR'S DEGREE,RETIRED,66,NA,74000,8.375,7,33,8,NA,NA,NA,NA,NA,NA,NA,NA,4,1.25,3,1.75,3.833333333,2.166666667,25,8,8
MALE,7,GOOD,VERY GOOD,LESS,WHITE,18-22,MARRIED,ASSOC DEGREE,WORKING NOW,64,40,93000,8,7,44,8,20,14,8,12,9,1.5,11,9,4,2,3,1,4,2.166666667,36,8,9
FEMALE,6,POOR,FAIR,ABOUT THE SAME,WHITE,NA,MARRIED,HIGH SCHOOL/GED,NA,81,NA,38000,7.25,5,29,5,NA,NA,NA,NA,NA,NA,NA,NA,3.75,1.5,3,1.75,4,1.666666667,37.125,9,5
MALE,8,VERY GOOD,VERY GOOD,LESS,WHITE,18-22,MARRIED,HIGH SCHOOL/GED,RETIRED,70,NA,45000,9.25,8,44,10,NA,NA,NA,NA,NA,NA,NA,NA,3,1.75,3.25,1.25,4,1.333333333,9,9,8
FEMALE,6,VERY GOOD,GOOD,ABOUT THE SAME,WHITE,< 18,NEVER MARRIED,HIGH SCHOOL/GED,WORKING NOW,73,32,22000,9,6.5,35,10,25,17,7,12,6,1.166666667,13,9,1,2.75,3.75,1.5,NA,NA,33,8,9
MALE,7,VERY GOOD,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,RETIRED,87,NA,NA,8.75,9,40,8,NA,NA,NA,NA,NA,NA,NA,NA,4,1.25,4,1,4,1.5,35,8,10
MALE,6,EXCELLENT,EXCELLENT,LESS,WHITE,< 18,MARRIED,SOME K12,RETIRED,74,NA,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALE,7,EXCELLENT,EXCELLENT,LESS,WHITE,< 18,MARRIED,SOME COLLEGE,SELF-EMPLOYED,74,30,135000,9.5,8,42,10,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2.5,3,1.75,3.666666667,2.5,32,10,10
FEMALE,6,GOOD,GOOD,ABOUT THE SAME,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,HOMEMAKER,74,NA,0,8.666666667,8,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.25,3.5,1.75,4,1.333333333,31,8,9
MALE,9,FAIR,VERY GOOD,LESS,OTHER (SPECIFY),NA,DIVORCED,HIGH SCHOOL/GED,NA,80,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,8,VERY GOOD,VERY GOOD,ABOUT THE SAME,OTHER (SPECIFY),< 18,MARRIED,DOCTORAL OR PROF DEGREE,SELF-EMPLOYED,53,40,55000,8.625,8.5,40,9,29,12,NA,NA,6,1,11,11,3.75,2.5,3.5,2.25,3.666666667,2.666666667,36,9,9
MALE,6,FAIR,GOOD,ABOUT THE SAME,OTHER (SPECIFY),18-22,WIDOWED,HIGH SCHOOL/GED,RETIRED,79,NA,26000,7,8,41,5,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,1,NA,NA,41,8,8
FEMALE,7,FAIR,FAIR,ABOUT THE SAME,BLACK AND/OR AFRICAN AMERICAN,18-22,NEVER MARRIED,ASSOC DEGREE,NA,60,NA,18000,6,NA,26,6,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2.75,3,1.25,NA,NA,NA,NA,NA
MALE,6,GOOD,EXCELLENT,LESS,WHITE,18-22,MARRIED,BACHELOR'S DEGREE,WORKING NOW,63,48,180000,8.625,6.5,40,8,23,13,8,10,7,1,13,8,4,1.5,3.75,1.25,3.833333333,1.5,30,9,6
FEMALE,6,GOOD,FAIR,ABOUT THE SAME,WHITE,18-22,WIDOWED,HIGH SCHOOL/GED,WORKING NOW,64,40,38000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,6,FAIR,GOOD,LESS,WHITE,< 18,DIVORCED,HIGH SCHOOL/GED,WORKING NOW,59,30,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,6,VERY GOOD,VERY GOOD,LESS,WHITE,NA,MARRIED,HIGH SCHOOL/GED,NA,80,NA,25000,7,7.5,41,5,NA,NA,NA,NA,NA,NA,NA,NA,3,1.5,2.5,1.25,3.333333333,1.5,33,8,9
MALE,7,EXCELLENT,EXCELLENT,ABOUT THE SAME,WHITE,< 18,MARRIED,SOME GRADUATE SCHOOL,WORKING NOW,62,40,35000,5.875,5,38,7,21,14,5,12,12,2,9,11,3,1.5,3,2,2,3.666666667,27,5,4
FEMALE,7,GOOD,VERY GOOD,LESS,WHITE,18-22,MARRIED,SOME COLLEGE,RETIRED,72,NA,3600,6.75,8,36,8,NA,NA,NA,NA,NA,NA,NA,NA,4,1.75,3.25,1.75,3.5,1.833333333,29,7,7
MALE,7,EXCELLENT,EXCELLENT,LESS,WHITE,< 18,MARRIED,DOCTORAL OR PROF DEGREE,WORKING NOW,65,40,120000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,7,VERY GOOD,VERY GOOD,ABOUT THE SAME,NA,< 18,MARRIED,SOME COLLEGE,WORKING NOW,52,40,32000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALE,5,GOOD,GOOD,LESS,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,WORKING NOW,56,60,105000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,7,GOOD,GOOD,LESS,WHITE,18-22,MARRIED,SOME COLLEGE,WORKING NOW,64,40,65000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FEMALE,7,EXCELLENT,VERY GOOD,ABOUT THE SAME,WHITE,18-22,WIDOWED,MASTER'S DEGREE,RETIRED,64,NA,150000,8,7.5,44,10,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.25,4,1.75,NA,NA,33,8,9
FEMALE,6,VERY GOOD,EXCELLENT,LESS,OTHER (SPECIFY),< 18,MARRIED,ASSOC DEGREE,RETIRED,75,NA,40000,7.75,7.5,48,7,NA,NA,NA,NA,NA,NA,NA,NA,3.5,1.75,3.25,1.25,3.666666667,2.333333333,31,8,9
FEMALE,6,GOOD,GOOD,MORE,WHITE,< 18,MARRIED,HIGH SCHOOL/GED,OTHER,52,NA,18000,5.75,6.25,27,7,NA,NA,NA,NA,NA,NA,NA,NA,1.75,3,3,1.5,3.333333333,2.5,30,3,5
MALE,6,GOOD,GOOD,ABOUT THE SAME,BLACK AND/OR AFRICAN AMERICAN,NA,WIDOWED,SOME K12,NA,73,NA,3000,7.625,7.25,43,6,NA,NA,NA,NA,NA,NA,NA,NA,3.75,1.75,3.25,2.25,4,1.5,29,8,8
FEMALE,6,GOOD,VERY GOOD,ABOUT THE SAME,WHITE,18-22,MARRIED,HIGH SCHOOL/GED,RETIRED,75,NA,1000,9.25,8,39,10,NA,NA,NA,NA,NA,NA,NA,NA,4,1.25,4,1.25,4,1.833333333,36,9,10
MALE,7,FAIR,FAIR,ABOUT THE SAME,WHITE,NA,MARRIED,HIGH SCHOOL/GED,NA,82,NA,0,6.125,6,43,5,NA,NA,NA,NA,NA,NA,NA,NA,2.75,1.5,2.5,1.25,4,1.166666667,18,5,9
